# Time,Accel
7.3700,8.7873190e-03
7.3750,6.5161690e-03
7.3800,2.4677040e-03
7.3850,-2.1119120e-03
7.3900,-5.5109310e-03
7.3950,-6.4131910e-03
7.4000,-4.7876140e-03
7.4050,-1.7747250e-03
7.4100,1.2756280e-03
7.4150,3.5601010e-03
7.4200,5.0430700e-03
7.4250,6.2913530e-03
7.4300,8.1940980e-03
7.4350,1.1375830e-02
7.4400,1.5469430e-02
7.4450,1.9348280e-02
7.4500,2.2031200e-02
7.4550,2.2963280e-02
7.4600,2.1482720e-02
7.4650,1.6878120e-02
7.4700,9.1244180e-03
7.4750,-1.7108050e-04
7.4800,-7.4605560e-03
7.4850,-9.3208450e-03
7.4900,-4.2287310e-03
7.4950,7.0145390e-03
7.5000,2.1751630e-02
7.5050,3.7240070e-02
7.5100,5.0659240e-02
7.5150,5.8646720e-02
7.5200,5.9320020e-02
7.5250,5.4350690e-02
7.5300,4.7251540e-02
7.5350,4.0396420e-02
7.5400,3.4971630e-02
7.5450,3.1744860e-02
7.5500,3.0997790e-02
7.5550,3.2141560e-02
7.5600,3.3651800e-02
7.5650,3.3466490e-02
7.5700,3.0002640e-02
7.5750,2.2770380e-02
7.5800,1.2405290e-02
7.5850,9.2571890e-04
7.5900,-8.7934780e-03
7.5950,-1.5087490e-02
7.6000,-1.8845220e-02
7.6050,-2.1630560e-02
7.6100,-2.3920730e-02
7.6150,-2.6177560e-02
7.6200,-2.9977010e-02
7.6250,-3.7046380e-02
7.6300,-4.7497620e-02
7.6350,-5.9448120e-02
7.6400,-7.0769350e-02
7.6450,-8.0097660e-02
7.6500,-8.6288640e-02
7.6550,-8.8808970e-02
7.6600,-8.8115260e-02
7.6650,-8.4716930e-02
7.6700,-7.8744260e-02
7.6750,-7.0912130e-02
7.6800,-6.2527850e-02
7.6850,-5.4269460e-02
7.6900,-4.6311760e-02
7.6950,-3.9132460e-02
7.7000,-3.3636760e-02
7.7050,-3.0556500e-02
7.7100,-2.9351880e-02
7.7150,-2.8649930e-02
7.7200,-2.7627180e-02
7.7250,-2.6143470e-02
7.7300,-2.4161230e-02
7.7350,-2.1346120e-02
7.7400,-1.7581300e-02
7.7450,-1.3634270e-02
7.7500,-1.0465230e-02
7.7550,-8.1490080e-03
7.7600,-5.4779530e-03
7.7650,-6.0063490e-04
7.7700,8.0601870e-03
7.7750,2.1210760e-02
7.7800,3.7688300e-02
7.7850,5.4475170e-02
7.7900,6.8466150e-02
7.7950,7.8108270e-02
7.8000,8.3965520e-02
7.8050,8.7956090e-02
7.8100,9.1330400e-02
7.8150,9.3403740e-02
7.8200,9.3168760e-02
7.8250,9.1088560e-02
7.8300,8.8089980e-02
7.8350,8.4178390e-02
7.8400,7.8576270e-02
7.8450,7.0213120e-02
7.8500,5.8604290e-02
7.8550,4.5279620e-02
7.8600,3.3225060e-02
7.8650,2.4806930e-02
7.8700,2.0314760e-02
7.8750,1.7923590e-02
7.8800,1.5526560e-02
7.8850,1.2076500e-02
7.8900,6.9957630e-03
7.8950,-3.3650050e-04
7.9000,-9.6342560e-03
7.9050,-1.9423330e-02
7.9100,-2.8132440e-02
7.9150,-3.4672460e-02
7.9200,-3.8060590e-02
7.9250,-3.7698060e-02
7.9300,-3.3672110e-02
7.9350,-2.6385840e-02
7.9400,-1.6767950e-02
7.9450,-5.7098310e-03
7.9500,5.8751430e-03
7.9550,1.6470930e-02
7.9600,2.5683840e-02
7.9650,3.3986180e-02
7.9700,4.0618870e-02
7.9750,4.4214030e-02
7.9800,4.3449380e-02
7.9850,3.7546050e-02
7.9900,2.7419920e-02
7.9950,1.4735710e-02
8.0000,7.0971960e-04
8.0050,-1.3588920e-02
8.0100,-2.7817080e-02
8.0150,-4.1969900e-02
8.0200,-5.4782570e-02
8.0250,-6.4282950e-02
8.0300,-6.9247750e-02
8.0350,-6.9539310e-02
8.0400,-6.6025510e-02
8.0450,-6.0207510e-02
8.0500,-5.3034510e-02
8.0550,-4.4755640e-02
8.0600,-3.5416890e-02
8.0650,-2.5315100e-02
8.0700,-1.5944050e-02
8.0750,-8.9582450e-03
8.0800,-5.1853810e-03
8.0850,-4.9957020e-03
8.0900,-7.3164940e-03
8.0950,-9.7040160e-03
8.1000,-9.7006130e-03
8.1050,-6.0394110e-03
8.1100,1.1669730e-03
8.1150,1.0983360e-02
8.1200,2.1483500e-02
8.1250,3.0486460e-02
8.1300,3.6168270e-02
8.1350,3.6673450e-02
8.1400,3.0215830e-02
8.1450,1.6694700e-02
8.1500,-7.3090340e-04
8.1550,-1.7574880e-02
8.1600,-3.1173270e-02
8.1650,-4.0330900e-02
8.1700,-4.3483560e-02
8.1750,-4.0401750e-02
8.1800,-3.3827180e-02
8.1850,-2.6444100e-02
8.1900,-1.9393410e-02
8.1950,-1.3110720e-02
8.2000,-8.1262070e-03
8.2050,-5.2867980e-03
8.2100,-4.6997780e-03
8.2150,-6.6057730e-03
8.2200,-1.1537770e-02
